Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results
Home,SKU1024,232,In Stock,965,18406,Teen,123,8,38,1,DHL,56.38,Prime Distributors,USA,7470,17,1554,Recheck
Toys,SKU1025,413,Limited,712,35238,Senior,225,11,89,12,UPS,81.68,SupplyHub,China,5827,40,7150,Fail
Toys,SKU1026,17,Out of Stock,233,42489,Senior,457,17,83,3,UPS,76.11,SupplyHub,India,5170,13,3670,Recheck
Electronics,SKU1027,160,In Stock,85,46695,Teen,322,27,76,13,Aramex,93.99,FastTrack Ltd.,China,7901,48,481,Recheck
Sports,SKU1028,459,In Stock,776,32136,Adult,109,2,46,9,DHL,37.36,MegaCorp,USA,3723,39,1139,Recheck
Toys,SKU1029,459,Out of Stock,122,39774,Adult,256,9,98,11,Aramex,45.21,Prime Distributors,China,649,15,6924,Recheck
Clothing,SKU1030,24,In Stock,177,24553,Adult,182,24,27,9,UPS,7.63,Global Supplies Inc.,Germany,4267,36,8017,Recheck
Toys,SKU1031,383,In Stock,976,33860,Adult,439,13,85,12,DHL,48.14,Global Supplies Inc.,Germany,2844,38,7210,Fail
Clothing,SKU1032,432,In Stock,568,17209,Teen,425,14,23,2,DHL,83.03,MegaCorp,India,6495,4,8841,Recheck
Toys,SKU1033,250,In Stock,528,21284,Senior,297,7,29,2,USPS,10.32,Prime Distributors,USA,4086,12,5405,Pass
Electronics,SKU1034,164,Limited,128,25389,Teen,57,18,20,6,USPS,67.95,SupplyHub,Egypt,855,22,5735,Pass
Toys,SKU1035,180,In Stock,615,25113,Teen,226,7,16,1,Aramex,21.32,MegaCorp,Germany,9160,23,1925,Recheck
Clothing,SKU1036,181,Out of Stock,221,13337,Senior,483,5,59,13,Aramex,18.25,Prime Distributors,USA,6690,48,5908,Pass
Clothing,SKU1037,106,Out of Stock,765,690,Teen,300,23,11,12,Aramex,44.45,Global Supplies Inc.,China,5186,17,8442,Pass
Clothing,SKU1038,339,Limited,471,44518,Adult,425,27,89,12,Aramex,93.76,SupplyHub,Egypt,1324,12,7048,Pass
Clothing,SKU1039,382,In Stock,634,21097,Adult,244,23,68,5,UPS,71.17,FastTrack Ltd.,USA,6089,5,3383,Recheck
Toys,SKU1040,280,In Stock,845,5591,Adult,81,16,10,11,UPS,73.77,SupplyHub,Germany,4457,52,3972,Pass
Home,SKU1041,9,In Stock,756,32078,Adult,92,18,81,6,FedEx,5.61,FastTrack Ltd.,Egypt,9391,39,8240,Fail
Clothing,SKU1042,107,Out of Stock,626,3177,Adult,98,13,67,8,UPS,61.3,Prime Distributors,China,4657,28,8455,Fail
Electronics,SKU1043,94,In Stock,641,33561,Adult,48,23,56,2,DHL,91.93,MegaCorp,USA,4364,10,1617,Pass
Sports,SKU1044,102,In Stock,101,10996,Adult,59,20,46,11,USPS,81.52,MegaCorp,Egypt,8021,15,342,Recheck
Toys,SKU1045,15,In Stock,885,22577,Adult,481,19,60,2,USPS,56.7,SupplyHub,China,4631,46,3493,Recheck
Home,SKU1046,78,In Stock,921,48024,Adult,400,14,87,5,USPS,39.91,SupplyHub,Germany,6966,54,4671,Recheck
Sports,SKU1047,377,In Stock,248,34588,Adult,370,27,81,1,DHL,55.03,FastTrack Ltd.,Egypt,2743,31,4004,Pass
Home,SKU1048,269,Out of Stock,470,4235,Adult,24,28,51,8,UPS,81.68,Prime Distributors,China,8652,11,9115,Pass
Clothing,SKU1049,65,In Stock,670,40540,Teen,18,1,53,9,Aramex,70.97,SupplyHub,India,8358,11,3778,Fail
Toys,SKU1050,305,Out of Stock,401,22555,Adult,99,21,86,10,USPS,37.43,FastTrack Ltd.,USA,2506,5,4378,Fail
Electronics,SKU1051,480,In Stock,305,36544,Teen,225,27,2,3,USPS,88.4,Prime Distributors,China,4670,53,3988,Recheck
Sports,SKU1052,291,In Stock,171,44744,Teen,370,22,44,3,Aramex,67.3,Prime Distributors,China,959,17,7923,Pass
Clothing,SKU1053,349,In Stock,435,4259,Adult,310,8,33,6,Aramex,5.52,Global Supplies Inc.,Germany,6777,27,2683,Pass
Electronics,SKU1054,115,In Stock,619,28762,Adult,166,5,46,4,Aramex,25.32,FastTrack Ltd.,Germany,4985,45,4301,Pass
Electronics,SKU1055,304,Out of Stock,255,15058,Adult,177,17,47,2,Aramex,73.43,FastTrack Ltd.,China,752,27,4205,Pass
Home,SKU1056,132,In Stock,502,15284,Adult,120,5,81,5,Aramex,94.05,Prime Distributors,China,2783,23,215,Pass
Clothing,SKU1057,139,In Stock,983,26376,Adult,37,8,13,3,Aramex,35.93,SupplyHub,USA,6465,51,4459,Fail
Sports,SKU1058,65,In Stock,485,25633,Senior,175,6,88,4,FedEx,12.81,MegaCorp,India,376,21,4329,Fail
Sports,SKU1059,183,Out of Stock,702,37901,Teen,471,13,66,1,UPS,44.84,FastTrack Ltd.,Germany,9416,8,9235,Recheck
Electronics,SKU1060,358,In Stock,597,27384,Senior,213,28,7,2,UPS,71.86,MegaCorp,USA,5404,9,2204,Fail
Clothing,SKU1061,347,Out of Stock,726,21914,Teen,110,22,76,11,USPS,73.44,MegaCorp,India,7111,11,5903,Pass
Home,SKU1062,162,In Stock,429,23518,Adult,262,9,7,9,UPS,93.21,Global Supplies Inc.,USA,4749,32,322,Recheck
Sports,SKU1063,221,Out of Stock,472,5013,Teen,233,9,26,5,FedEx,48.91,MegaCorp,USA,1627,50,214,Pass
Clothing,SKU1064,455,Out of Stock,281,4725,Teen,317,29,80,10,DHL,48.83,Prime Distributors,USA,4772,19,8138,Recheck
Sports,SKU1065,90,In Stock,620,48504,Adult,348,20,72,11,FedEx,93.57,Global Supplies Inc.,Egypt,6454,23,7913,Fail
Home,SKU1066,84,Out of Stock,433,38524,Teen,62,21,12,4,USPS,23.98,SupplyHub,China,2625,28,752,Fail
Toys,SKU1067,196,In Stock,456,19012,Teen,319,15,65,2,Aramex,98.94,MegaCorp,Egypt,6096,57,2180,Pass
Toys,SKU1068,355,Limited,228,12979,Senior,313,12,27,8,Aramex,75.91,Prime Distributors,Germany,1890,53,8086,Recheck
Home,SKU1069,285,In Stock,864,45823,Teen,242,20,76,1,UPS,85.31,Prime Distributors,USA,8312,31,7926,Recheck
Toys,SKU1070,201,In Stock,705,2719,Teen,66,21,23,5,Aramex,96.0,Global Supplies Inc.,USA,3478,26,8020,Recheck
Toys,SKU1071,125,In Stock,217,36609,Adult,167,25,34,5,Aramex,64.11,SupplyHub,India,6492,3,7422,Pass
Electronics,SKU1072,370,In Stock,956,27317,Adult,488,24,54,1,FedEx,70.5,MegaCorp,China,4918,57,1253,Fail
Electronics,SKU1073,202,In Stock,112,1691,Adult,496,2,86,4,Aramex,28.85,FastTrack Ltd.,India,8794,34,5908,Fail
Sports,SKU1074,253,Out of Stock,191,3500,Adult,64,17,52,6,Aramex,71.13,MegaCorp,Egypt,3034,10,5288,Recheck
Clothing,SKU1075,391,Out of Stock,865,44596,Adult,0,21,39,1,UPS,43.52,SupplyHub,Egypt,8081,48,1543,Fail
Electronics,SKU1076,301,In Stock,313,4948,Senior,472,9,86,8,Aramex,98.07,Prime Distributors,China,2383,35,5433,Pass
Clothing,SKU1077,468,In Stock,760,28183,Adult,174,18,44,10,FedEx,50.44,Prime Distributors,India,1211,5,5219,Pass
Home,SKU1078,407,In Stock,602,18417,Adult,134,2,80,7,USPS,27.29,Global Supplies Inc.,Egypt,3169,20,3484,Fail
Electronics,SKU1079,267,In Stock,57,32548,Teen,125,8,16,1,DHL,36.03,MegaCorp,Egypt,5702,5,3158,Fail
Electronics,SKU1080,247,In Stock,157,21893,Senior,62,4,76,10,USPS,26.65,MegaCorp,India,2676,45,8343,Pass
Home,SKU1081,305,In Stock,374,45936,Adult,115,5,86,5,UPS,44.64,SupplyHub,USA,5072,28,9187,Recheck
Home,SKU1082,151,In Stock,244,31556,Teen,419,11,51,9,FedEx,40.14,Global Supplies Inc.,China,474,43,824,Pass
Electronics,SKU1083,250,In Stock,487,24653,Teen,309,25,66,2,UPS,89.28,Global Supplies Inc.,USA,3229,10,6466,Recheck
Electronics,SKU1084,65,In Stock,305,40475,Senior,274,14,64,8,USPS,80.05,SupplyHub,Germany,1570,12,5389,Fail
Sports,SKU1085,458,In Stock,648,49417,Adult,343,5,46,5,UPS,28.25,FastTrack Ltd.,Germany,1457,24,6546,Fail
Clothing,SKU1086,499,In Stock,545,10434,Senior,195,22,42,2,DHL,47.18,SupplyHub,India,8913,9,6520,Pass
Toys,SKU1087,327,In Stock,762,13694,Senior,251,6,19,13,Aramex,95.37,Prime Distributors,Germany,9983,35,4636,Recheck
Clothing,SKU1088,369,Out of Stock,53,20044,Teen,139,21,94,2,UPS,59.62,MegaCorp,China,2942,51,2536,Fail
Toys,SKU1089,137,Out of Stock,618,45873,Senior,70,21,51,8,FedEx,53.72,FastTrack Ltd.,India,8705,30,7632,Recheck
Clothing,SKU1090,402,In Stock,586,16262,Adult,5,18,99,3,UPS,35.44,Global Supplies Inc.,China,8859,47,4464,Fail
Sports,SKU1091,409,In Stock,852,18526,Teen,353,8,70,10,DHL,60.15,MegaCorp,India,6659,5,9736,Pass
Toys,SKU1092,117,In Stock,613,46933,Senior,234,2,10,9,USPS,59.48,Global Supplies Inc.,USA,6156,38,6380,Pass
Electronics,SKU1093,452,In Stock,307,38567,Senior,279,2,14,2,USPS,11.88,SupplyHub,Germany,6537,7,2984,Recheck
Electronics,SKU1094,214,In Stock,754,39943,Teen,442,14,72,7,DHL,65.41,SupplyHub,Germany,1257,55,1322,Pass
Clothing,SKU1095,274,Out of Stock,528,43610,Adult,23,11,60,4,UPS,20.63,SupplyHub,China,6714,3,7094,Fail
Home,SKU1096,74,Out of Stock,717,34125,Adult,40,23,26,6,FedEx,10.57,Global Supplies Inc.,India,5206,39,6790,Pass
Toys,SKU1097,167,In Stock,767,844,Senior,178,11,97,9,UPS,19.2,FastTrack Ltd.,India,1832,23,7169,Pass
Sports,SKU1098,266,In Stock,946,38763,Adult,385,29,9,9,Aramex,16.25,SupplyHub,Egypt,9415,4,9221,Recheck
Clothing,SKU1099,139,In Stock,183,7527,Adult,332,26,46,13,DHL,43.47,Prime Distributors,Egypt,9308,4,577,Recheck
Toys,SKU1100,219,In Stock,487,43385,Teen,466,15,1,6,Aramex,60.75,FastTrack Ltd.,Germany,790,26,8815,Fail
Sports,SKU1101,21,Limited,155,49591,Adult,159,20,84,13,USPS,32.58,FastTrack Ltd.,China,8989,20,5570,Pass
Home,SKU1102,366,Limited,651,32781,Senior,260,8,21,13,Aramex,92.97,SupplyHub,Germany,124,4,7412,Pass
Sports,SKU1103,116,In Stock,865,31312,Teen,131,11,74,3,DHL,15.84,Prime Distributors,China,8123,34,2011,Recheck
Toys,SKU1104,119,Out of Stock,940,34209,Teen,223,19,57,11,USPS,17.88,MegaCorp,India,885,28,3031,Fail
Toys,SKU1105,181,In Stock,340,1003,Adult,318,24,43,8,FedEx,72.16,Global Supplies Inc.,Germany,529,7,8142,Fail
Sports,SKU1106,102,In Stock,340,46000,Adult,1,10,73,6,Aramex,97.51,FastTrack Ltd.,China,3380,22,9779,Pass
Home,SKU1107,213,Out of Stock,233,10422,Senior,322,14,61,7,Aramex,45.49,SupplyHub,USA,1622,4,4663,Recheck
Clothing,SKU1108,211,In Stock,253,14324,Adult,401,13,60,9,UPS,32.42,FastTrack Ltd.,Germany,4651,51,245,Fail
Home,SKU1109,179,Out of Stock,719,33634,Teen,29,7,45,12,USPS,99.62,Global Supplies Inc.,Egypt,7311,39,7529,Pass
Clothing,SKU1110,61,In Stock,83,21725,Adult,143,21,78,11,USPS,34.41,FastTrack Ltd.,Germany,8825,1,4416,Pass
Sports,SKU1111,220,In Stock,959,28239,Teen,389,10,40,13,USPS,82.62,MegaCorp,USA,4810,12,4469,Pass
Sports,SKU1112,161,Out of Stock,349,22186,Teen,333,7,90,8,USPS,28.93,Prime Distributors,India,7771,6,1780,Recheck
Electronics,SKU1113,313,Out of Stock,533,17980,Adult,486,18,64,2,Aramex,27.1,FastTrack Ltd.,Egypt,4111,26,6823,Pass
Clothing,SKU1114,243,In Stock,528,45777,Senior,109,8,63,1,USPS,26.96,FastTrack Ltd.,Egypt,3429,8,8185,Fail
Sports,SKU1115,106,Limited,290,1944,Teen,267,17,83,4,USPS,91.72,SupplyHub,USA,4036,39,5944,Fail
Home,SKU1116,310,In Stock,276,19274,Adult,122,19,34,3,UPS,44.45,FastTrack Ltd.,Egypt,2525,31,4787,Pass
Toys,SKU1117,301,In Stock,854,32898,Teen,325,26,8,6,DHL,97.52,SupplyHub,Egypt,1353,55,1043,Fail
Clothing,SKU1118,230,In Stock,540,3824,Senior,120,17,52,10,FedEx,23.52,Global Supplies Inc.,India,7472,28,6858,Fail
Home,SKU1119,112,In Stock,707,35578,Teen,61,22,62,8,Aramex,60.91,MegaCorp,Egypt,6315,39,785,Recheck
Home,SKU1120,266,In Stock,29,25957,Senior,420,28,86,7,UPS,67.77,Global Supplies Inc.,Germany,2639,2,6283,Fail
Home,SKU1121,202,In Stock,385,48327,Adult,312,19,23,1,FedEx,44.44,FastTrack Ltd.,China,9677,8,2334,Recheck
Home,SKU1122,179,In Stock,903,37495,Senior,317,23,73,4,FedEx,92.43,Global Supplies Inc.,India,8243,43,605,Recheck
Toys,SKU1123,128,Out of Stock,471,41991,Adult,294,26,51,5,USPS,47.77,MegaCorp,China,463,29,6851,Recheck
Electronics,SKU1124,271,Out of Stock,439,2214,Senior,267,1,59,11,Aramex,59.98,SupplyHub,India,4236,6,3081,Recheck
Toys,SKU1125,253,In Stock,533,45605,Senior,453,12,55,12,USPS,49.38,Global Supplies Inc.,Egypt,8284,44,3743,Pass
Clothing,SKU1126,249,Out of Stock,974,19502,Senior,204,13,27,6,Aramex,95.04,Prime Distributors,Germany,1339,22,384,Fail
Toys,SKU1127,186,Out of Stock,633,41166,Teen,208,12,28,3,DHL,33.53,FastTrack Ltd.,Germany,4078,57,5757,Recheck
Sports,SKU1128,462,In Stock,473,35317,Adult,44,21,11,11,Aramex,94.02,Global Supplies Inc.,India,2365,50,1322,Pass
Home,SKU1129,229,In Stock,976,7060,Senior,118,14,39,2,FedEx,74.55,Prime Distributors,USA,1665,41,3823,Fail
Sports,SKU1130,251,In Stock,194,8324,Adult,7,29,67,6,DHL,46.7,MegaCorp,Germany,8500,4,192,Fail
Toys,SKU1131,496,Out of Stock,305,20530,Teen,365,23,74,9,Aramex,42.26,FastTrack Ltd.,Germany,3815,45,4812,Recheck
Sports,SKU1132,121,In Stock,617,8836,Teen,233,4,40,10,FedEx,94.05,SupplyHub,China,8257,30,9909,Fail
Electronics,SKU1133,214,In Stock,196,37375,Adult,179,7,23,5,FedEx,81.82,Prime Distributors,India,5347,40,4506,Fail
Sports,SKU1134,442,Out of Stock,993,29656,Teen,359,6,50,3,Aramex,24.79,SupplyHub,Germany,3948,10,875,Pass
Clothing,SKU1135,457,In Stock,116,10646,Adult,458,2,19,8,USPS,88.43,Global Supplies Inc.,China,892,34,6802,Fail
Sports,SKU1136,10,In Stock,696,33128,Adult,239,1,41,2,DHL,34.96,MegaCorp,India,4988,16,757,Recheck
Home,SKU1137,316,In Stock,806,1650,Adult,146,20,17,2,DHL,74.05,MegaCorp,China,8931,48,7864,Fail
Electronics,SKU1138,226,Out of Stock,418,12173,Teen,21,24,33,13,USPS,52.51,Global Supplies Inc.,China,7579,17,8965,Pass
Home,SKU1139,339,Out of Stock,612,11395,Senior,151,21,98,11,Aramex,6.58,FastTrack Ltd.,India,141,17,4252,Recheck
Sports,SKU1140,97,In Stock,268,31813,Senior,136,1,66,4,USPS,81.35,SupplyHub,China,7325,39,271,Recheck
Sports,SKU1141,326,In Stock,691,12530,Adult,173,15,25,10,DHL,35.36,Global Supplies Inc.,India,9197,3,174,Pass
Toys,SKU1142,400,In Stock,654,47897,Senior,403,7,39,8,USPS,11.97,SupplyHub,USA,1922,28,2245,Fail
Clothing,SKU1143,487,In Stock,99,36067,Teen,425,1,34,6,FedEx,19.54,MegaCorp,Germany,4265,30,9150,Fail
Toys,SKU1144,295,In Stock,434,24896,Senior,276,16,68,13,DHL,42.4,MegaCorp,China,5338,23,2950,Fail
Clothing,SKU1145,297,Out of Stock,490,34205,Teen,396,22,56,1,Aramex,7.02,Prime Distributors,Egypt,890,13,3052,Fail
Toys,SKU1146,141,Out of Stock,309,22544,Teen,340,5,59,7,Aramex,78.04,FastTrack Ltd.,USA,2168,13,1154,Fail
Sports,SKU1147,380,In Stock,635,32766,Senior,393,17,74,7,UPS,87.92,FastTrack Ltd.,Egypt,4122,31,4245,Pass
Home,SKU1148,473,In Stock,900,27229,Teen,55,7,53,11,USPS,75.65,FastTrack Ltd.,Egypt,5198,27,6429,Pass
Toys,SKU1149,6,Limited,968,13004,Teen,89,28,56,9,DHL,81.82,Prime Distributors,Germany,5775,5,7849,Recheck
Electronics,SKU1150,402,In Stock,439,21327,Adult,37,3,24,5,DHL,24.89,Global Supplies Inc.,USA,6804,19,2293,Fail
Sports,SKU1151,295,In Stock,431,12679,Adult,261,4,55,6,UPS,22.34,SupplyHub,USA,8209,20,9566,Recheck
Clothing,SKU1152,313,In Stock,151,12273,Teen,333,2,89,7,UPS,98.25,Global Supplies Inc.,India,9104,9,2911,Fail
Clothing,SKU1153,283,Limited,556,4410,Adult,203,18,21,11,USPS,5.7,SupplyHub,Germany,2334,19,2517,Pass
Toys,SKU1154,265,In Stock,567,29745,Adult,396,25,4,4,DHL,82.03,FastTrack Ltd.,Germany,5697,30,9119,Pass
Sports,SKU1155,124,Out of Stock,895,47081,Teen,32,2,13,9,USPS,38.8,Global Supplies Inc.,Germany,2229,11,1032,Recheck
Toys,SKU1156,398,In Stock,342,408,Adult,327,6,59,6,Aramex,44.47,FastTrack Ltd.,China,3545,23,8932,Pass
Toys,SKU1157,283,Out of Stock,915,35629,Adult,128,22,27,4,Aramex,6.17,Global Supplies Inc.,USA,3547,21,7688,Pass
Electronics,SKU1158,35,Out of Stock,933,5938,Teen,149,16,74,9,Aramex,76.17,Global Supplies Inc.,China,2985,41,8308,Pass
Sports,SKU1159,310,In Stock,939,10836,Teen,82,21,2,7,FedEx,59.75,FastTrack Ltd.,Germany,2572,42,4102,Recheck
Sports,SKU1160,486,In Stock,920,14933,Adult,134,29,14,12,USPS,52.9,MegaCorp,China,7920,51,8863,Pass
Electronics,SKU1161,201,In Stock,395,24284,Senior,348,24,41,11,DHL,69.51,MegaCorp,Germany,6376,43,7298,Pass
Toys,SKU1162,33,Out of Stock,572,35059,Adult,435,17,98,2,Aramex,62.5,MegaCorp,India,7006,5,9993,Fail
Clothing,SKU1163,249,In Stock,230,26064,Senior,397,29,89,7,DHL,17.55,FastTrack Ltd.,Germany,2777,34,4849,Pass
Home,SKU1164,198,Out of Stock,805,6363,Adult,449,22,91,1,DHL,47.83,Prime Distributors,Egypt,1075,6,6297,Fail
Electronics,SKU1165,226,In Stock,405,45455,Senior,98,18,28,3,DHL,16.41,Global Supplies Inc.,India,1131,17,138,Fail
Home,SKU1166,348,In Stock,579,18832,Teen,243,24,73,7,DHL,5.36,Prime Distributors,India,6479,47,6458,Recheck
Electronics,SKU1167,476,In Stock,899,6522,Teen,431,28,85,5,FedEx,79.15,SupplyHub,India,6682,33,111,Fail
Sports,SKU1168,136,In Stock,682,43569,Senior,407,1,94,13,Aramex,15.78,Global Supplies Inc.,USA,4386,17,6200,Fail
Toys,SKU1169,138,Out of Stock,925,32954,Adult,142,8,34,4,FedEx,61.47,FastTrack Ltd.,Egypt,714,59,2900,Recheck
Home,SKU1170,118,In Stock,357,26503,Teen,146,25,71,3,FedEx,41.47,Prime Distributors,Germany,9224,58,585,Pass
Toys,SKU1171,377,In Stock,644,37125,Teen,407,10,69,3,USPS,74.01,FastTrack Ltd.,Egypt,299,7,8353,Fail
Clothing,SKU1172,200,Out of Stock,851,43430,Teen,452,25,36,6,UPS,99.63,FastTrack Ltd.,China,7229,38,7183,Pass
Electronics,SKU1173,116,In Stock,13,37383,Teen,339,21,17,9,DHL,37.04,Global Supplies Inc.,USA,6065,57,5732,Recheck
Sports,SKU1174,107,In Stock,372,2184,Senior,220,5,99,1,DHL,14.93,Prime Distributors,Germany,2905,36,6025,Fail
Toys,SKU1175,414,In Stock,66,11402,Teen,251,1,11,2,Aramex,92.51,Prime Distributors,Germany,9464,56,9039,Recheck
Electronics,SKU1176,176,In Stock,764,21401,Adult,362,19,97,7,Aramex,9.25,SupplyHub,India,611,40,9359,Fail
Clothing,SKU1177,292,In Stock,276,11630,Teen,77,6,36,11,UPS,52.39,Prime Distributors,Germany,8497,40,9518,Pass
Home,SKU1178,473,In Stock,946,8335,Adult,244,29,71,4,DHL,39.82,SupplyHub,India,5775,57,5926,Pass
Sports,SKU1179,186,In Stock,942,13176,Adult,350,24,37,10,Aramex,55.23,Global Supplies Inc.,Germany,5425,54,3365,Recheck
Clothing,SKU1180,144,Out of Stock,800,9192,Adult,157,7,23,5,UPS,71.33,Global Supplies Inc.,India,5647,7,7948,Fail
Electronics,SKU1181,46,Out of Stock,417,14087,Adult,284,18,86,7,FedEx,98.87,MegaCorp,China,2849,31,9248,Pass
Clothing,SKU1182,48,Limited,259,15915,Teen,193,1,67,12,FedEx,53.82,FastTrack Ltd.,India,9257,20,2626,Fail
Electronics,SKU1183,105,In Stock,995,27685,Senior,36,12,42,13,USPS,16.64,Prime Distributors,Germany,8165,40,1854,Recheck
Toys,SKU1184,75,Limited,756,3370,Adult,302,15,29,12,FedEx,81.5,MegaCorp,India,2148,47,8874,Pass
Home,SKU1185,14,In Stock,734,30713,Teen,88,12,45,13,UPS,27.18,FastTrack Ltd.,India,6875,6,4021,Fail
Clothing,SKU1186,398,In Stock,353,40900,Teen,255,1,38,2,Aramex,86.83,Prime Distributors,Germany,3979,37,3950,Fail
Toys,SKU1187,403,In Stock,379,24237,Teen,383,24,81,9,DHL,88.76,MegaCorp,USA,878,15,8536,Fail
Clothing,SKU1188,489,In Stock,60,22771,Adult,45,4,43,12,FedEx,31.48,MegaCorp,USA,9493,11,588,Pass
Sports,SKU1189,83,Limited,683,18488,Senior,350,4,15,13,DHL,7.49,Prime Distributors,USA,6192,2,4332,Pass
Home,SKU1190,499,In Stock,83,15007,Senior,63,13,90,12,UPS,57.59,Global Supplies Inc.,Germany,3954,6,2782,Recheck
Home,SKU1191,410,In Stock,173,7775,Senior,259,12,52,4,UPS,55.88,Global Supplies Inc.,India,5741,37,9888,Pass
Toys,SKU1192,124,Out of Stock,862,32874,Senior,385,15,48,12,FedEx,81.34,Prime Distributors,USA,2138,42,7112,Fail
Toys,SKU1193,133,In Stock,491,42580,Teen,380,20,94,11,Aramex,74.52,SupplyHub,India,3211,8,2313,Pass
Sports,SKU1194,230,In Stock,508,19125,Adult,480,20,66,4,USPS,61.15,Prime Distributors,Egypt,4630,48,7284,Pass
Home,SKU1195,467,In Stock,179,43470,Teen,102,6,6,13,USPS,80.88,Prime Distributors,Germany,7604,47,3459,Fail
Sports,SKU1196,104,Limited,340,25375,Adult,278,13,63,8,USPS,81.06,Global Supplies Inc.,China,2488,23,8808,Pass
Toys,SKU1197,122,Limited,66,40788,Adult,439,11,22,2,DHL,65.07,Prime Distributors,India,886,36,9123,Pass
Home,SKU1198,351,In Stock,19,48329,Senior,194,29,7,7,USPS,30.19,Global Supplies Inc.,USA,9222,53,8017,Recheck
Clothing,SKU1199,5,In Stock,443,42687,Senior,278,20,31,6,USPS,43.21,Prime Distributors,India,6912,31,9273,Recheck
Electronics,SKU1200,394,Limited,22,13620,Senior,29,13,59,12,DHL,21.11,Global Supplies Inc.,USA,1608,37,1416,Recheck
Electronics,SKU1201,311,Out of Stock,753,49842,Teen,333,9,70,7,DHL,45.51,MegaCorp,USA,9245,2,2361,Pass
Sports,SKU1202,485,In Stock,569,8242,Senior,80,25,31,5,DHL,94.2,Global Supplies Inc.,USA,8974,30,6113,Fail
Sports,SKU1203,263,Out of Stock,388,36104,Adult,228,4,13,12,UPS,97.68,MegaCorp,USA,9916,48,3334,Pass
Home,SKU1204,45,Out of Stock,832,27361,Senior,116,10,16,9,USPS,45.77,MegaCorp,Egypt,9482,7,4319,Recheck
